Resource,Capability,Method,Count,Count_Pct,Avg,Min,P5,P25,P50,P75,P95,P99,Max,Stdev,Sum,Sum_Pct
Audit_Data.MapServer,MapServer,layers/2/query,258.0,0.00754,0.028405580669641495,0.0008399999933317304,0.0008900000248104334,0.0011599999852478504,0.0014900000533089042,0.007009999826550484,0.17497999966144562,0.37852999567985535,0.7852699756622314,0.07911610202503544,7.328639984130859,9.000000136438757e-05
Coll_Geo_2020/2020_Coll_Geo_Viewer_wBCU.MapServer,MapServer,layers/4/query,224.0,0.00655,0.1565919667482376,0.01095999963581562,0.012629999779164791,0.048340000212192535,0.09023000299930573,0.24628999829292297,0.38503000140190125,0.5565699934959412,0.5802299976348877,0.1384222179847601,35.07659912109375,0.0004199999966658652
Coll_Geo_2020/2020_Coll_Geo_Viewer_wBCU.MapServer,MapServer,layers/34/query,221.0,0.00646,84.76107025146484,0.0025400000158697367,0.0031300000846385956,0.054760001599788666,0.11655999720096588,257.87493896484375,331.8467102050781,413.2647399902344,501.2733154296875,140.99590875225772,18732.197265625,0.22221000492572784
PES_BCU/PES_BCU_Search.MapServer,MapServer,layers/9/query,217.0,0.00635,21.782474517822266,0.010440000332891941,14.760970115661621,17.7523193359375,20.3037109375,24.707599639892578,33.26551055908203,45.42512130737305,50.8785400390625,6.323156769088175,4726.796875,0.0560699999332428
PES_BCU/PES_BCU_Search.MapServer,MapServer,layers/8/query,191.0,0.00558,19.566211700439453,0.010599999688565731,13.001819610595703,15.694479942321777,18.824129104614258,22.405750274658203,29.63176918029785,36.06081008911133,36.26057815551758,5.174858419500395,3737.146240234375,0.04433000087738037
PES_BCU/PES_BCU_Search.MapServer,MapServer,layers/11/query,175.0,0.00512,13.521648406982422,0.010400000028312206,9.152139663696289,10.794790267944336,13.1596097946167,16.177490234375,19.687999725341797,24.29598045349121,24.819120407104492,3.624053207107027,2366.288330078125,0.02806999906897545
PES_BCU/PES_BCU_Search.MapServer,MapServer,layers/13/query,169.0,0.00494,18.81972312927246,0.010420000180602074,12.843099594116211,15.708120346069336,18.17205047607422,21.764440536499023,26.481779098510742,31.111249923706055,41.35028839111328,4.778310141161105,3180.533203125,0.03773000091314316
PES_BCU/PES_BCU_Search.MapServer,MapServer,layers/10/query,157.0,0.00459,20.76197052001953,0.01051000040024519,13.474699974060059,16.358749389648438,19.805660247802734,24.6541690826416,30.89957046508789,36.813480377197266,37.98884963989258,5.803379228557447,3259.629150390625,0.038669999688863754
Coll_Geo_2020/2020_Coll_Geo_Viewer_wBCU.MapServer,MapServer,layers/38/query,151.0,0.00442,1.4043357372283936,0.007579999975860119,0.010490000247955322,0.052319999784231186,1.5940799713134766,1.9650700092315674,2.7562499046325684,5.852330207824707,8.857680320739746,1.152001084140671,212.0546875,0.002520000096410513
Coll_Geo_2020/2020_Coll_Geo_Viewer_wBCU.MapServer,MapServer,layers/10/query,150.0,0.00439,0.10715426504611969,0.0074800001457333565,0.007809999864548445,0.04447999969124794,0.06255000084638596,0.12364999949932098,0.3687700033187866,0.649940013885498,0.704010009765625,0.11692628628641528,16.073139190673828,0.0001900000061141327
PES_BCU/PES_BCU_Search.MapServer,MapServer,layers/12/query,148.0,0.00433,12.566642761230469,0.010350000113248825,8.318889617919922,10.493289947509766,12.04778003692627,14.275259971618652,17.860790252685547,21.310829162597656,23.580120086669922,3.048022483883424,1859.8631591796875,0.022059999406337738
